CV i vs E Scan 1,,CV i vs E Scan 2,,CV i vs E Scan 3,
V,µA,V,µA,V,µA
-0.389962,-0.202657,-0.389962,-0.522139,-0.389962,-0.512602
-0.379962,-0.112057,-0.379962,-0.317098,-0.379962,-0.31233
-0.369962,-0.0596049,-0.369962,-0.216962,-0.369962,-0.207425
-0.359962,-0.0262262,-0.359962,-0.145436,-0.359962,-0.140668
-0.349962,0.00238419,-0.349962,-0.097752,-0.349962,-0.0929836
-0.34004,0.0214577,-0.34004,-0.0596049,-0.34004,-0.0548365
-0.33004,0.0357629,-0.33004,-0.0214578,-0.33004,-0.0262262
-0.32004,0.0548365,-0.32004,-0.0023842,-0.32004,0.00238419
-0.31004,0.07391,-0.31004,0.011921,-0.31004,0.0166894
-0.30004,0.0834468,-0.30004,0.0309945,-0.30004,0.0309945
-0.29004,0.0929836,-0.29004,0.0452997,-0.29004,0.0452997
-0.28004,0.107289,-0.28004,0.0643733,-0.28004,0.0596049
-0.27004,0.116826,-0.27004,0.0786784,-0.27004,0.0786784
-0.26004,0.126362,-0.26004,0.0882152,-0.26004,0.0834468
-0.25004,0.131131,-0.25004,0.097752,-0.25004,0.10252
-0.24004,0.145436,-0.24004,0.10252,-0.24004,0.107289
-0.23004,0.145436,-0.23004,0.116826,-0.23004,0.116826
-0.22004,0.154973,-0.22004,0.126362,-0.22004,0.121594
-0.21004,0.159741,-0.21004,0.135899,-0.21004,0.131131
-0.200118,0.169278,-0.200118,0.140667,-0.200118,0.135899
-0.190118,0.174046,-0.190118,0.150204,-0.190118,0.145436
-0.180118,0.183583,-0.180118,0.154973,-0.180118,0.150204
-0.170118,0.188351,-0.170118,0.159741,-0.170118,0.154973
-0.160118,0.19312,-0.160118,0.164509,-0.160118,0.164509
-0.150118,0.19312,-0.150118,0.174046,-0.150118,0.169278
-0.140118,0.202657,-0.140118,0.178815,-0.140118,0.174046
-0.130118,0.207425,-0.130118,0.183583,-0.130118,0.178815
-0.120118,0.207425,-0.120118,0.183583,-0.120118,0.188351
-0.110118,0.216962,-0.110118,0.19312,-0.110118,0.188351
-0.100118,0.22173,-0.100118,0.197888,-0.100118,0.197888
-0.0901175,0.22173,-0.0901175,0.202657,-0.0901175,0.197888
-0.0801175,0.226499,-0.0801175,0.207425,-0.0801175,0.202657
-0.0701174,0.231267,-0.0701174,0.212193,-0.0701174,0.207425
-0.0601955,0.236035,-0.0601955,0.216962,-0.0601955,0.212193
-0.0501955,0.245572,-0.0501955,0.216962,-0.0501955,0.216962
-0.0401954,0.245572,-0.0401954,0.226499,-0.0401954,0.22173
-0.0301954,0.25034,-0.0301954,0.226499,-0.0301954,0.226499
-0.0201954,0.255109,-0.0201954,0.231267,-0.0201954,0.231267
-0.0101953,0.259877,-0.0101953,0.236035,-0.0101953,0.236035
-0.000195275,0.269414,-0.000195275,0.240804,-0.000195275,0.236035
0.00980476,0.274182,0.00980476,0.245572,0.00980476,0.240804
0.0198048,0.283719,0.0198048,0.25034,0.0198048,0.25034
0.0298048,0.288488,0.0298048,0.255109,0.0298048,0.255109
0.0398049,0.298024,0.0398049,0.264646,0.0398049,0.255109
0.0498049,0.307561,0.0498049,0.269414,0.0498049,0.264646
0.059805,0.317098,0.059805,0.278951,0.059805,0.269414
0.069805,0.331403,0.069805,0.283719,0.069805,0.278951
0.079805,0.34094,0.079805,0.288488,0.079805,0.283719
0.0897269,0.355245,0.0897269,0.298024,0.0897269,0.293256
0.099727,0.36955,0.099727,0.317098,0.099727,0.307561
0.109727,0.379087,0.109727,0.331403,0.109727,0.31233
0.119727,0.402929,0.119727,0.326635,0.119727,0.31233
0.129727,0.431539,0.129727,0.336171,0.129727,0.321866
0.139727,0.441076,0.139727,0.345708,0.139727,0.331403
0.149727,0.464918,0.149727,0.360013,0.149727,0.34094
0.159727,0.483992,0.159727,0.374319,0.159727,0.355245
0.169727,0.503065,0.169727,0.388624,0.169727,0.36955
0.179727,0.526907,0.179727,0.402929,0.179727,0.379087
0.189727,0.550749,0.189727,0.417234,0.189727,0.393392
0.199727,0.574591,0.199727,0.436308,0.199727,0.407697
0.209727,0.60797,0.209727,0.450613,0.209727,0.426771
0.219727,0.63658,0.219727,0.469686,0.219727,0.441076
0.229649,0.66519,0.229649,0.493528,0.229649,0.464918
0.239649,0.693801,0.239649,0.51737,0.239649,0.474455
0.249649,0.727179,0.249649,0.541212,0.249649,0.503065
0.259649,0.75579,0.259649,0.569823,0.259649,0.526907
0.26965,0.789168,0.26965,0.603201,0.26965,0.545981
0.27965,0.827316,0.27965,0.631812,0.27965,0.579359
0.28965,0.855926,0.28965,0.674727,0.28965,0.60797
0.29965,0.90361,0.29965,0.712874,0.29965,0.646117
0.28965,0.565054,0.28965,0.431539,0.28965,0.393392
0.27965,0.383855,0.27965,0.288488,0.27965,0.25034
0.26965,0.264646,0.26965,0.183583,0.26965,0.159741
0.259649,0.178815,0.259649,0.116826,0.259649,0.10252
0.249649,0.107289,0.249649,0.0643733,0.249649,0.0500681
0.239649,0.0596049,0.239649,0.0214577,0.239649,0.00715258
0.229649,0.0166894,0.229649,-0.011921,0.229649,-0.0166894
0.219727,-0.011921,0.219727,-0.0357629,0.219727,-0.0452997
0.209727,-0.0405313,0.209727,-0.0596049,0.209727,-0.0643733
0.199727,-0.0643733,0.199727,-0.0834468,0.199727,-0.0834468
0.189727,-0.0834468,0.189727,-0.0929836,0.189727,-0.10252
0.179727,-0.107289,0.179727,-0.112057,0.179727,-0.112057
0.169727,-0.116826,0.169727,-0.126362,0.169727,-0.126362
0.159727,-0.131131,0.159727,-0.131131,0.159727,-0.131131
0.149727,-0.135899,0.149727,-0.140668,0.149727,-0.145436
0.139727,-0.150204,0.139727,-0.154973,0.139727,-0.150204
0.129727,-0.159741,0.129727,-0.159741,0.129727,-0.159741
0.119727,-0.164509,0.119727,-0.164509,0.119727,-0.169278
0.109727,-0.174046,0.109727,-0.174046,0.109727,-0.174046
0.099727,-0.178815,0.099727,-0.178815,0.099727,-0.178815
0.0897269,-0.183583,0.0897269,-0.183583,0.0897269,-0.183583
0.079805,-0.188351,0.079805,-0.188351,0.079805,-0.19312
0.069805,-0.197888,0.069805,-0.19312,0.069805,-0.19312
0.059805,-0.197888,0.059805,-0.197888,0.059805,-0.197888
0.0498049,-0.207425,0.0498049,-0.197888,0.0498049,-0.197888
0.0398049,-0.212193,0.0398049,-0.207425,0.0398049,-0.207425
0.0298048,-0.216962,0.0298048,-0.207425,0.0298048,-0.207425
0.0198048,-0.216962,0.0198048,-0.212193,0.0198048,-0.212193
0.00980476,-0.22173,0.00980476,-0.216962,0.00980476,-0.212193
-0.000195275,-0.22173,-0.000195275,-0.216962,-0.000195275,-0.216962
-0.0101953,-0.226499,-0.0101953,-0.22173,-0.0101953,-0.22173
-0.0201954,-0.231267,-0.0201954,-0.226499,-0.0201954,-0.226499
-0.0301954,-0.231267,-0.0301954,-0.240804,-0.0301954,-0.236035
-0.0401954,-0.240804,-0.0401954,-0.240804,-0.0401954,-0.240804
-0.0501955,-0.25034,-0.0501955,-0.240804,-0.0501955,-0.236035
-0.0601955,-0.255109,-0.0601955,-0.240804,-0.0601955,-0.240804
-0.0701174,-0.25034,-0.0701174,-0.240804,-0.0701174,-0.240804
-0.0801175,-0.255109,-0.0801175,-0.25034,-0.0801175,-0.245572
-0.0901175,-0.255109,-0.0901175,-0.25034,-0.0901175,-0.25034
-0.100118,-0.264646,-0.100118,-0.255109,-0.100118,-0.25034
-0.110118,-0.264646,-0.110118,-0.259877,-0.110118,-0.259877
-0.120118,-0.269414,-0.120118,-0.264646,-0.120118,-0.264646
-0.130118,-0.274182,-0.130118,-0.269414,-0.130118,-0.264646
-0.140118,-0.278951,-0.140118,-0.274182,-0.140118,-0.274182
-0.150118,-0.283719,-0.150118,-0.278951,-0.150118,-0.274182
-0.160118,-0.288488,-0.160118,-0.283719,-0.160118,-0.278951
-0.170118,-0.298024,-0.170118,-0.288488,-0.170118,-0.283719
-0.180118,-0.302793,-0.180118,-0.298024,-0.180118,-0.293256
-0.190118,-0.31233,-0.190118,-0.302793,-0.190118,-0.302793
-0.200118,-0.317098,-0.200118,-0.307561,-0.200118,-0.307561
-0.21004,-0.326635,-0.21004,-0.317098,-0.21004,-0.317098
-0.22004,-0.336171,-0.22004,-0.326635,-0.22004,-0.321866
-0.23004,-0.345708,-0.23004,-0.336171,-0.23004,-0.331403
-0.24004,-0.355245,-0.24004,-0.345708,-0.24004,-0.336171
-0.25004,-0.364782,-0.25004,-0.355245,-0.25004,-0.350477
-0.26004,-0.374319,-0.26004,-0.364782,-0.26004,-0.360013
-0.27004,-0.383855,-0.27004,-0.36955,-0.27004,-0.364782
-0.28004,-0.402929,-0.28004,-0.379087,-0.28004,-0.379087
-0.29004,-0.407697,-0.29004,-0.393392,-0.29004,-0.383855
-0.30004,-0.412466,-0.30004,-0.402929,-0.30004,-0.393392
-0.31004,-0.417234,-0.31004,-0.412466,-0.31004,-0.398161
-0.32004,-0.436308,-0.32004,-0.422003,-0.32004,-0.412466
-0.33004,-0.445844,-0.33004,-0.426771,-0.33004,-0.422003
-0.34004,-0.455381,-0.34004,-0.441076,-0.34004,-0.431539
-0.349962,-0.469686,-0.349962,-0.455381,-0.349962,-0.450613
-0.359962,-0.479223,-0.359962,-0.464918,-0.359962,-0.455381
-0.369962,-0.493528,-0.369962,-0.483992,-0.369962,-0.469686
-0.379962,-0.507834,-0.379962,-0.498297,-0.379962,-0.483992
