Fixed at 61 freqs,,,,,,,,,
freq / Hz,Time / s,neg. Phase / °,Idc / uA,Iac / uA,Z / Ohm,Z' / Ohm,Z'' / Ohm,Cs / F,Eac / V
100000,0,38.6511,1.1921,179.463,62.3837,48.7194,38.9634,4.08473E-08,0.0112394
79432.8,0,39.0023,1.0252,153.335,69.9148,54.3323,44.001,4.55363E-08,0.0107675
63095.7,0,37.9663,-0.023842,130.888,79.212,62.4486,48.731,5.17624E-08,0.0104059
50118.7,0,36.1197,1.16826,112.949,89.3161,72.1484,52.6496,6.0315E-08,0.0101186
39810.7,0,33.6039,0.11921,99.9135,99.3067,82.711,54.9611,7.27386E-08,0.00994853
31622.8,0,30.8453,0.166894,89.1657,108.9,93.4962,55.8352,9.01389E-08,0.00973297
25118.9,0,28.0235,-3.98161,81.8229,117.868,104.048,55.3782,1.14415E-07,0.00966642
19952.6,0,25.1587,-0.188351,76.3523,126.065,114.105,53.5934,1.48836E-07,0.00964626
15848.9,0,22.5468,0.121594,71.8425,133.732,123.51,51.278,1.95834E-07,0.00962749
12589.3,0,20.038,-0.60797,68.6769,139.808,131.345,47.9042,2.63904E-07,0.00962065
10000,0,17.9411,-1.48535,65.6797,145.781,138.692,44.9062,3.54416E-07,0.00959325
7943.28,0,15.8888,0.154973,63.559,151.076,145.304,41.3603,4.84436E-07,0.0096205
6309.57,0,14.2137,-0.131131,61.7313,155.451,150.692,38.1693,6.60855E-07,0.0096139
5011.87,0,12.906,-0.135899,60.2757,158.808,154.796,35.47,8.9528E-07,0.00958957
3981.07,0,11.8922,-0.245572,58.8675,162.732,159.24,33.5343,1.19215E-06,0.00959657
3162.28,0,10.9187,-0.364782,57.496,165.363,162.369,31.3224,1.60681E-06,0.00952451
2511.89,0,10.3446,-0.216962,56.6376,168.143,165.41,30.1932,2.09851E-06,0.0095392
1995.26,0,10.0943,-0.25034,55.8315,170.73,168.087,29.9237,2.66566E-06,0.00954754
1584.89,0,9.90441,-0.422003,55.1645,173.253,170.671,29.8004,3.36976E-06,0.00956769
1258.93,0,10.5648,-0.398161,54.3108,175.775,172.795,32.2279,3.92273E-06,0.00956148
1000,0,11.0547,-0.264646,53.417,179.017,175.696,34.3258,4.6366E-06,0.00957878
794.328,0,11.8062,-0.216962,52.6573,181.144,177.312,37.0623,5.40614E-06,0.00955425
630.957,0,13.0126,-0.288488,51.8817,184.644,179.903,41.5754,6.06714E-06,0.00959513
501.187,0,14.76,-0.097752,50.8975,187.473,181.286,47.7625,6.64864E-06,0.00955665
398.107,0,16.9333,-0.10252,49.8708,191.28,182.987,55.7117,7.17585E-06,0.0095536
316.228,0,19.6511,-0.245572,48.4023,196.407,184.968,66.0502,7.61985E-06,0.00952039
251.189,0,22.946,-0.245572,46.9397,202.82,186.771,79.0719,8.01306E-06,0.00953335
199.526,0,26.9709,-0.231267,45.0219,211.858,188.816,96.0855,8.30161E-06,0.00955023
158.489,0,31.6377,-0.226499,42.6133,223.854,190.585,117.422,8.55206E-06,0.00955023
125.893,0,36.8678,-0.245572,39.6178,241.066,192.858,144.633,8.74086E-06,0.00956016
100,0,42.4305,-0.231267,36.0766,264.904,195.525,178.729,8.9048E-06,0.00956487
79.4328,0,48.1923,-0.255109,32.1283,297.511,198.331,221.761,9.03516E-06,0.00956501
63.0957,0,53.7414,0.00238419,27.9374,342.264,202.425,275.987,9.13969E-06,0.00956685
50.1187,0,58.972,0.00238419,23.8571,400.886,206.639,343.525,9.24404E-06,0.00956737
39.8107,0,63.5761,0.00715258,20.0208,477.761,212.608,427.847,9.34397E-06,0.00956774
31.6228,0,67.6052,0.00238419,16.529,576.298,219.562,532.833,9.44558E-06,0.00952728
25.1189,0,71.0007,0.00238419,13.5685,703.248,228.947,664.937,9.52883E-06,0.00954333
19.9526,0,73.8147,-0.0023842,11.0895,861.47,240.131,827.325,9.64148E-06,0.00955403
15.8489,0,76.1343,-0.0023842,8.99699,1062.12,254.534,1031.17,9.73843E-06,0.00955632
12.5893,0,78.0312,0.00238419,7.27252,1314.51,272.601,1285.93,9.83109E-06,0.00955984
10,0,79.5768,0.00238419,5.861,1632.68,295.379,1605.74,9.91164E-06,0.00956895
7.94328,0,80.7993,0.00238419,4.72669,2024.17,323.651,1998.13,1.00276E-05,0.00956771
6.30957,0,81.7535,0.00238419,3.80178,2517.11,361.033,2491.08,1.01259E-05,0.00956895
5.01187,0,82.5263,-0.0023842,3.05807,3133.92,407.632,3107.29,1.02197E-05,0.00958282
3.98107,0,83.1554,0.00238419,2.45699,3892.31,463.873,3864.57,1.03447E-05,0.00956196
3.16228,0,83.7639,0.00238419,1.97001,4845.36,526.328,4816.69,1.04489E-05,0.00954315
2.51189,0,84.0535,-0.0023842,1.57711,6054.98,627.294,6022.4,1.05208E-05,0.00954576
1.99526,0,84.4253,-0.0023842,1.32928,7493.1,727.906,7457.66,1.06959E-05,0.00995358
1.58489,0,84.6439,0.00238419,1.0655,9346.67,872.471,9305.86,1.07911E-05,0.0099492
1.25893,0,84.8517,0.00238419,0.857311,11640.6,1044.55,11593.7,1.09044E-05,0.00996559
1,0,85.0262,0.00238419,0.688991,14502.4,1257.36,14447.8,1.10158E-05,0.00996862
0.794328,0,85.1623,0.00238419,0.551439,18092.7,1525.83,18028.2,1.11139E-05,0.00995773
0.630957,0,85.283,0.00238419,0.44345,22532.2,1852.91,22455.9,1.12328E-05,0.00996231
0.501187,0,85.2911,0.00238419,0.356958,28037.6,2301.71,27943,1.13644E-05,0.00996285
0.398107,0,85.3265,0.00238419,0.286131,35085.7,2858.68,34969,1.14324E-05,0.00996502
0.316228,0,85.3125,0.00238419,0.229165,43732.4,3573.83,43586.2,1.15471E-05,0.00992443
0.251189,0,85.2909,0.00238419,0.184643,54667.5,4488.04,54482.9,1.16295E-05,0.0099416
0.199526,0,85.1975,0.00238419,0.149348,68161.5,5706.62,67922.2,1.17438E-05,0.00994484
0.158489,0,85.1177,0.00238419,0.120777,85481.5,7275.23,85171.4,1.17903E-05,0.00995137
0.125893,0,85.297,0.00238419,0.0985132,106999,8772.98,106639,1.18551E-05,0.00995723
0.1,0,84.9799,0.00238419,0.0813545,133160,11652.3,132650,1.19981E-05,0.0099608
